OBJECTID,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ICAO_ID
11456,35,25,45.1,N,35.42919444,83,10,0.42,W,-83.16678333,
11457,35,51,43.894,N,35.86219277,77,10,41.522,W,-77.17820055,KMCZ
11458,35,34,57.28,N,35.58257777,78,43,10.19,W,-78.71949722,
11459,34,16,16.1,N,34.27113888,77,54,10.4,W,-77.90288888,KILM
11460,34,11,46.56,N,34.19626666,77,55,11.62,W,-77.91989444,
11461,34,12,15.434,N,34.20428722,77,55,11.8255,W,-77.91995152,
11462,35,46,13.465,N,35.77040694,77,58,11.249,W,-77.96979138,
11463,35,43,2.72,N,35.71742222,77,56,39.6765,W,-77.94435458,
11464,35,59,19.1998,N,35.98866661,76,55,45.2725,W,-76.92924236,
11465,35,53,54,N,35.89833333,76,51,45,W,-76.8625,
11466,36,14,22,N,36.23944444,76,25,2,W,-76.41722222,
